title,date,description,crime_type,location,source_url,latitude,longitude
Bank employee arrested for facilitating cyber fraud worth several crores: Delhi Crime Branch - tennews.in,"Sun, 12 Apr 2026 07:09:52 GMT",Bank employee arrested for facilitating cyber fraud worth several crores: Delhi Crime Branch - tennews.in,Fraud,delhi,https://news.google.com/rss/articles/CBMisAFBVV95cUxOS1ctSWhaVWdrY3VSYlNfOE5IV1BfQW1oNW05cFFCdEJJSGkxRjl2MU5EdERwVzgyUTYwWEx3elRNdXQ5cm5vSERvMHhSYTBfXzl5QnV5eU5fdng1Mm1LMFBidTYyaUFMOGxpWWJqOGxZSzBYTWVZekhMbER0RGgtTEViZjhXQmRHWDFlb2RkT2JZYTdBV29iMFVLQlAwWFhkTFRKdVFkdWNXaEtjN0VCbQ?oc=5,28.6138954,77.2090057
Delhi Crime Branch Arrests Mastermind Behind Temple and Hospital Cheating Racket - The Impressive Times,"Fri, 10 Apr 2026 07:15:25 GMT",Delhi Crime Branch Arrests Mastermind Behind Temple and Hospital Cheating Racket - The Impressive Times,Fraud,delhi,https://news.google.com/rss/articles/CBMif0FVX3lxTFBPdGdiTXczS0xIcjZ6MDgzZmdZN01paHpWRXJrNHpVeFJPUVVLdXZYQXVNYVM2VjZYb2sxSUNENm9TTlozZU5mRE5VeDJNdktkQ05pQUFqYS1GQ2ZibFRuVDVXNEdSV0QxUDZCMlBUdWJ0WVN6WThMMXM5SlBTZkE?oc=5,28.6138954,77.2090057
Man found dead in northeast Delhi; three held for murder - thepatriot.in,"Sat, 11 Apr 2026 13:08:46 GMT",Man found dead in northeast Delhi; three held for murder - thepatriot.in,Murder,delhi,https://news.google.com/rss/articles/CBMimAFBVV95cUxNclpQWWZUM3pCcTVodHNmV0NQLVYxM0RYVFNnNG05VENuTjdzN2FRYXVZYWhqNTg5M09sMklHVm53SDZPVWFsQ2dSbTdyTnE1NERhdlh3RlJDbUFmcnM3R3NubzdQVmg5a1lwVHR3Q25yM2tzcTg5bVhGdWxWYjctcmdfdk90M3d0WC1rRi1lc0RMNFlzRnhfS9IBngFBVV95cUxOZUNiMmVvaFNkekRJUzF5Q2tNVVAwS1A1dDY2a01Bc3laZE42QzdFaTBCdXl0M1ZvUW9QTXctLXZpQi1sR2JrMldBLWRxdnktS3BEQmw4cVFYb2RwZ0pKaGZseXcxUUQ2emdXSHZvLVRiemcxV0xsbWlNV21MeXQ0Ujd1SExhamE1SzMxVThXOFYyNVZRN2hNajZjYjlKdw?oc=5,28.6138954,77.2090057
Delhi Crime Branch Cracks Down on Cheating Racket Led by Female Kingpin - Devdiscourse,"Fri, 10 Apr 2026 08:13:50 GMT",Delhi Crime Branch Cracks Down on Cheating Racket Led by Female Kingpin - Devdiscourse,Fraud,delhi,https://news.google.com/rss/articles/CBMixAFBVV95cUxOOWlRemVKLVVnQm5XNTc3bWxqamNZSmZBWEZfS3RQOC1qWWxYNTkxdHhqNjFBT3pGMDZ4NFN5cnNLa012N29oNzJaTGVtTmh1cnRtaG9iTXh3SjZBY0ZtR0lYRVlWR3ZkNGFfdndHZ3RQX3V4TlVtdWNDOXBMNVRTSm13NXlyLU93N1U1Ql9VUFkyOV9wWlllOW5DYTJITjF4a2ExTkdIb29RUGRhbEFSSXp6cDBEaFQ4U1VPNW45Rm52bVVF0gHKAUFVX3lxTFBkRHp1emhHa1FNMmUxYTRUdnNYR1JCc0lYNXdNTHdiUzlldC1vMWJMOElORmZJbDJlazNEeDJ0X2NITERtTDR4YW9uQjlyVzAzTnVUNVQ2cHRyZ0tTYTFleGVxVjFHT0JEUDdkNk93X29jYlFhZUhDWkpOek1zajNaTnR1U2V2S0xMTU1SeFJwc0Znb09GWWV2cTlkNGJrVUVKN3Jvb2NsVlM5cnZPTlJBNllGT01DbndBRFdwcW55anZJR1BwcXFWd1E?oc=5,28.6138954,77.2090057
"Delhi: Crime branch busts inter-state mobile theft racket, 83 phones recovered - India's News.Net","Sun, 29 Mar 2026 13:30:00 GMT","Delhi: Crime branch busts inter-state mobile theft racket, 83 phones recovered - India's News.Net",Theft,delhi,https://news.google.com/rss/articles/CBMiugFBVV95cUxNeG5KZURvNldxN1Rrb0FlU1pHbS1KQXVpcUxjend6UWxmUDU4VHZlNjZFd0FJb3lWRzBCeU9tZEV2NEhlaFAxLTJxbW9FaUVnZmxZaktsaFhHSDl4OF82SUUwMTU2aExneE9fdVBvMF92MEVlWmZQMW5GS3E5ek11UG9YLU1nY01BYUJ4eElLUHdKZXF4RFVXamRhUlRPYnZ6LVdWY0s4NlRQeUhLbHFNb0o3VFcwbnRXZXc?oc=5,28.6138954,77.2090057
"Delhi Crime Report 2025: Murder, rape, robbery cases drop sharply; police claim improved law and order - India TV News","Wed, 21 Jan 2026 08:00:00 GMT","Delhi Crime Report 2025: Murder, rape, robbery cases drop sharply; police claim improved law and order - India TV News",Murder,delhi,https://news.google.com/rss/articles/CBMi_wFBVV95cUxNN2RTRTJVU250WVZUelZ3b3ZCZU9tTGZlS05SVWtvY0FMbXhYYmxSVTlkNlBhbFpuV1M0R0lOQVc2RlVOQ0JKLVkzQlkzRlpPMmpkcjVTZzZMRmhiRGVWS1VIdTJGckFjUjY4Rl80cHJEbERkRkppYmhKY2kwaWhtQ1dQWWN3QnBUeG5DLXJSRFhqajdnbnNiVmhmMXZHOXA0alVEbnhKVnk1OTJMUHdCZTdIN1FEV1FLSTJ4Q2NVUVVJR3FrNnpLa1pkVFY2ZlJtZXduVHBwdHROc2dTUFVRNXJSbHJ3dXpMTDJUcFlOVDBGdXc0cE1sM3BHNW1tUWPSAYQCQVVfeXFMTWFjeVliaGp1MGpYckI2b3BPTE1fZVQ0SXhGZFVnd3pWV0lJaXQxOWZJZUQzM2NSUnVIODdqMXlzRHNnSDBJWjR6Zm00b2V4dURFS3VZYlU0UXREMXo4YnBVeFRrVThya0U0SU5WQk9wQXdpeWstQS1USmVuXzFCYjRxNmtjQ1hjdGdNVnhDQXRnd044OGVsaXJhSWhOR3Z3SjBkNXJUQUVDZUFKODR5UTVCVjdfQUgwWlF1SkdmM1Z6R0JjLUhoRHlWYi1ES2FhT2ZjdFc0WFRmdUtKZlpTTFJ0UlREOE9iVUNJZkJGQ0RRMTh6cjVVU3R2UTUxbE1yY1JzNXE?oc=5,28.6138954,77.2090057
"Rape, Pocso convict who jumped bail in 2022 held by Delhi crime branch - The Times of India","Tue, 27 Jan 2026 08:00:00 GMT","Rape, Pocso convict who jumped bail in 2022 held by Delhi crime branch - The Times of India",Assault,delhi,https://news.google.com/rss/articles/CBMi2gFBVV95cUxQOTJWN2NYd2YzaTZ2MXItODNWMlpld0hvRnk0SDFGWmowdm9vR3Y3RkJOZVZVV3dMQW9hOXk5VkdTYTA2eW8zTDJ6YnpqTnpfci1hdHJic0ZGOXRWUTRVcHZVS2RPUXZwN3RmRGZNWkVNYi00elZxZHdKZUU4eEpkOHdkSTdPdUJTSXh4QU1XSWVfbDRsYkpNZy1sMWZYNTFQdmZGSVFWYkl4WE94MXhfWlR2TzAwTGszZExfdHdrem54T1ZnVjduSThvWmNRNjdsMGhBOFJuM3Rld9IB3wFBVV95cUxQWW51bGh0SktIVlZ0cGZTNjNTMGs5NU1IRVgwMHJsTEFVTWxzUEUyZUxsemkxdnhwdFlCSlBMelhCMDhjYXhjQ1d6WWpMckxUSFdNM1ZKbzdlTFdjc0FGM043MnFHelJBXy1KckNnTUExZ1ZUSHVfOXBoSy02UmotQ0k5bnBBQXA5WmtTVnhBZ1dSblBQMEdqUkhuRjZBLW5FaUc2ZHZ0OVdGVDFkcGhuUC00bzkxZWZLSEZWUHRMZFM2RG4tTkYzUWk1RTJKaDVLZ1VSRWNGam1waVFQTDFr?oc=5,28.6138954,77.2090057
"Delhi Crime Data 2024: Burglary Cases Rise 30%, Attempt To Murder Incidents Rise - Outlook India","Thu, 15 Jan 2026 08:00:00 GMT","Delhi Crime Data 2024: Burglary Cases Rise 30%, Attempt To Murder Incidents Rise - Outlook India",Murder,delhi,https://news.google.com/rss/articles/CBMitgFBVV95cUxQM0tUZHFmcDEybVVjMkkyTmlSVVZwUlplYlFxVDFKS2t0YmQwSEF3RFZIYU5MTnhrRzlpWVlWczk5ekxDVVlqNlZvR2NhbE1fckdJUm9sajc1RUg5OS1UMmJFNUJ5QllQTTNQLXdsVW8xQ3FUWmp2M3ozWWFoTFF4Y3BFZXYtZENIZ29kLWk0U3E3Q2dzTURRUE5rQ1h5Uk9MdTNLZGdQMTNWbHc4YlF6NjZSQUt4QdIBwwFBVV95cUxNOHNjQWhNMG91MklTVF91V3QyNnNGeGVpMnZUVkwzb19BTHFlbkpUNVU1TTZmd3VudUx0VVBoXzdfRjVWcnVOSzNkSlhQTG5yNkxKTDYwY0FEOTM4TUJaUlVDWktHRnU4MVBKS1ItZkRwU1FSTk1jbVNzTkpJMGFPcGtmT0dGVm55NWFnaVo4dHVEMVZCendiOHptR1dZRHctX3ZHMmdJZnE3UzlPT3ZtQXJfQk1oanRpZXBQRzZyUEVYN00?oc=5,28.6138954,77.2090057
Crime Branch Of Delhi Police Files Two FIRs Against Al-Falah University For Cheating And Forgery - News On AIR,"Sun, 16 Nov 2025 08:00:00 GMT",Crime Branch Of Delhi Police Files Two FIRs Against Al-Falah University For Cheating And Forgery - News On AIR,Fraud,delhi,https://news.google.com/rss/articles/CBMiuAFBVV95cUxNa3R2dTVscDJfcnF2UUJKWE1QWXdZaE5HT19sSldseWJRUUFfTUx1YmI5TWJjRzB4SG5zbFFLZjhYZDdRY0VrVmxpaTlnZVBNemlJYU91aEFYNmdadWZ3WFBDWlFlTTM5cy1ISVVfaC1Sd3hUY2tsRGtxeTB2SEh0M1RJeHNmZjJVOFc3V0loVTZlZld1NUNWY1c5ZVJvZFc0WGdfRHhHQXBmbXJrTnQ5TVl0YUtPaVF4?oc=5,28.6138954,77.2090057
Cyber fraud reported in Burari,2026-02-24,A fraud incident was reported in burari. Police are investigating the case.,Fraud,burari,synthetic_data,28.7536438,77.2016511
